Provincia;Partido;Localidad;Poblacion;ADSL;CABLEMODEM;DIALUP;FIBRAOPTICA;SATELITAL;WIRELESS;TELEFONIAFIJA;3G;4G;link;Latitud;Longitud
ENTRE RIOS;Uruguay;Estancia San Pedro;0;--;--;--;--;--;SI;--;--;--;30098030.0;-32,2669;-58,6294
CORDOBA;Calamuchita;Arroyo San Antonio;0;--;--;--;--;--;--;--;SI;SI;14007020.0;-32,26205146004;-64,5937253212731
ENTRE RIOS;Victoria;Charigüé;0;--;--;--;--;--;--;--;--;--;30105040.0;-32,9331069681438;-60,5907241451802
ENTRE RIOS;Victoria;Laguna del Pescado;0;--;--;--;--;--;--;--;--;--;30105040.0;-32,6900337710703;-60,011835871903
ENTRE RIOS;Victoria;Rincón de Nogoyá;0;--;--;--;--;--;SI;SI;--;SI;30105040.0;-32,7840822565326;-59,9066011827697
CATAMARCA;Andalgalá;Aconquija;0;--;--;--;--;SI;--;--;SI;SI;10021010.0;-27,4743798884533;-66,0266884349829
CATAMARCA;Andalgalá;Alto De Las Juntas;0;--;--;--;--;--;--;--;--;--;10021010.0;-27,4511959792163;-66,0199688270559
CATAMARCA;Andalgalá;Buena Vista;0;--;--;--;--;--;--;--;--;--;10021010.0;-27,3391922396844;-66,0241892155379
CATAMARCA;Andalgalá;La Mesada;0;--;--;--;SI;--;--;--;--;--;10021010.0;-27,4511959792163;-66,0199688270559
CATAMARCA;Capayán;Los Angeles Norte;0;--;--;--;--;--;--;--;--;--;10042020.0;-28,4130524181894;-65,9974963114274
CATAMARCA;Capayán;Los Angeles Sur;0;--;--;--;--;--;--;--;--;--;10042020.0;-28,5096259939006;-66,0134501995358
CATAMARCA;Capital;Barrio Bancario;0;--;--;--;--;--;--;--;SI;SI;10049020.0;-28,466667;-65,783333
ENTRE RIOS;Villaguay;Mojones Norte;0;--;--;--;--;--;--;--;--;SI;30113020.0;-31,5083237598534;-59,2008898465196
CATAMARCA;Valle Viejo;El Bañado;0;--;--;--;--;--;--;--;--;--;10112030.0;-28,4594352492075;-65,7113717209433
CATAMARCA;Valle Viejo;Polcos;0;--;--;--;SI;--;--;--;--;--;10112030.0;-28,4333815878035;-65,7202973350365
CATAMARCA;Valle Viejo;Pozo Del Mistol;0;--;--;--;SI;--;--;--;--;--;10112030.0;-28,4689789857859;-65,7195047318519
CATAMARCA;Valle Viejo;Santa Rosa;0;--;--;--;SI;--;SI;--;SI;SI;10112030.0;-28,447802287271;-65,7055328995515
CATAMARCA;Valle Viejo;Sumalao;0;--;--;--;SI;--;SI;--;--;--;10112030.0;-28,4746455518307;-65,7433480027028
CATAMARCA;Valle Viejo;Villa Dolores;0;--;--;--;SI;--;SI;--;--;SI;10112030.0;-28,4434739220039;-65,7215360640125
CATAMARCA;Santa María;El Cerrito;0;--;--;--;--;--;--;--;SI;SI;10091040.0;-26,6988604981977;-66,0387334407325
CATAMARCA;Santa María;La Puntilla;0;--;--;--;--;--;--;--;--;--;10091040.0;-26,8274550484771;-66,0506274507575
CATAMARCA;Santa María;Lampacito;0;--;--;--;--;--;--;--;--;SI;10091040.0;-26,7265981975072;-66,0436979128184
CATAMARCA;Santa María;Medanitos;0;--;--;--;--;--;--;--;--;--;10091040.0;-26,7588342868363;-66,0493067195716
CATAMARCA;Santa María;Palo Seco;0;--;--;--;--;--;--;--;--;--;10091040.0;-26,8274550484771;-66,0506274507575
CATAMARCA;Santa María;San Jose Banda;0;--;--;--;--;--;--;--;--;--;10091040.0;-26,8101195558413;-66,0595221384282
CATAMARCA;Santa María;San Jose Norte;0;--;--;--;--;--;--;--;--;--;10091040.0;-26,7745985033315;-66,0362576892132
BUENOS AIRES;Luján;Barrio Las Casuarinas;0;--;--;--;SI;--;SI;SI;SI;SI;6497060.0;-34,5607457195455;-59,1700837097016
LA RIOJA;San Blas de los Sauces;ALPASINCHE;0;--;--;--;SI;--;SI;--;--;SI;46119010.0;-28,3536422425472;-67,080433367311
LA RIOJA;San Blas de los Sauces;Amuschina;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,5555816291232;-67,1592836516078
LA RIOJA;San Blas de los Sauces;Andolucas;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,5555816291232;-67,1592836516078
LA RIOJA;San Blas de los Sauces;Chaupihuasi;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,3536422425472;-67,080433367311
LA RIOJA;San Blas de los Sauces;Cuipan;0;--;--;--;--;--;--;--;--;SI;46119010.0;-28,4517974906601;-67,1178978512143
LA RIOJA;San Blas de los Sauces;Las Talas;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,4517974906601;-67,1178978512143
LA RIOJA;San Blas de los Sauces;Los Robles;0;--;--;--;--;SI;--;--;--;--;46119010.0;-28,4517974906601;-67,1178978512143
LA RIOJA;San Blas de los Sauces;Salicas;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,407625810512;-67,0961546311905
LA RIOJA;San Blas de los Sauces;San Blas;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,407625810512;-67,0961546311905
LA RIOJA;San Blas de los Sauces;Shaqui;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,4812201375784;-67,128235105005
LA RIOJA;San Blas de los Sauces;Suriyaco;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,5555816291232;-67,1592836516078
LA RIOJA;San Blas de los Sauces;Tuyubil;0;--;--;--;--;--;--;--;--;--;46119010.0;-28,5555816291232;-67,1592836516078
LA RIOJA;Sanagasta;Villa Sanagasta;0;--;SI;--;SI;SI;SI;SI;SI;SI;46126010.0;-29,3064491456943;-67,0414097362521
CHUBUT;Escalante;Acceso Norte;0;--;--;--;--;SI;--;--;SI;SI;26021020.0;-45,782807331545;-67,5033367870766
CHUBUT;Escalante;Barrio 25 De Mayo;0;--;--;--;--;--;--;--;SI;SI;26021020.0;-45,8248454635041;-67,4616495988676
CHUBUT;Escalante;Barrio Caleta Cordova;0;--;--;--;--;SI;--;--;SI;--;26021020.0;-45,7482508559011;-67,3786501769463
CHUBUT;Escalante;Barrio Caleta Olivares;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,7757274867383;-67,3895609391029
BUENOS AIRES;Bahía Blanca;Grunbein;0;--;--;--;--;--;--;--;SI;SI;6056020.0;-38,7471079502848;-62,1891166907456
BUENOS AIRES;Bahía Blanca;Ingeniero White;0;--;--;--;SI;SI;--;--;SI;SI;6056020.0;-38,7794670416666;-62,262951248824
BUENOS AIRES;General Juan Madariaga;Barrio Kennedy;0;--;--;--;--;--;--;--;SI;SI;6315010.0;-37,0062217702401;-57,1417255856769
CHUBUT;Escalante;Barrio Castelli;0;--;--;--;--;--;--;--;SI;SI;26021020.0;-45,8180472017947;-67,4820283811333
CHUBUT;Escalante;Barrio Ciudadela;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,7969335159784;-67,5038537987439
BUENOS AIRES;Luján;Cortines;0;SI;--;--;SI;--;SI;SI;SI;SI;6497060.0;-34,5590633814317;-59,2044266157478
BUENOS AIRES;Luján;Country Club Las Praderas;0;--;--;--;--;--;--;--;--;SI;6497070.0;-34,4902656696955;-59,1324863072423
BUENOS AIRES;Luján;José María Jáuregui (Est. Jáuregui);0;SI;SI;--;SI;--;SI;SI;SI;SI;6497060.0;-34,6028553295745;-59,1757529081248
BUENOS AIRES;Luján;Lezica y Torrezuri;0;--;--;--;--;--;SI;--;SI;SI;6497060.0;-34,5806997364467;-59,0582308683017
BUENOS AIRES;Luján;Open Door (Est. Dr. Domingo Cabred);0;SI;--;SI;--;--;SI;SI;SI;SI;6497060.0;-34,4890162386569;-59,0617361279716
CHUBUT;Escalante;Barrio Gasoducto;0;--;--;--;--;--;--;--;SI;SI;26021020.0;-45,7935756857887;-67,5039634957522
CHUBUT;Escalante;Barrio Guemes;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,8217123319455;-67,4921204994732
CHUBUT;Escalante;Barrio Laprida;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,8286806171316;-67,5429175806012
CHUBUT;Escalante;Barrio Manantial Rosales;0;--;--;--;--;--;--;--;--;--;26021020.0;-45,8171962363307;-67,5384037096511
